Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
SANOFI-AVENTIS U.S. LLC,No,,MULTAQ,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,allowed
Ethicon Inc.,No,,EVARREST,Allopathic & Osteopathic Physicians|Surgery,disallowed
"W. L. Gore & Associates, Inc.",No,BIO-A  Tissue Reinforcement,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,MAXFACE,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"OmniGuide, Inc.",No,Precision Energy Products for Head & Neck Surgical Applications,,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,disallowed
Boston Scientific Corporation,No,OTHER,,Hospitals|General Acute Care Hospital|Critical Access,disallowed
"Depomed, Inc.",No,,Gralise and Zipsor,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Behavioral Neurology & Neuropsychiatry,disallowed
Daiichi Sankyo Inc.,No,,Tribenzor,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,NON_BRAND,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,disallowed
Novo Nordisk AS,No,,NovoLog,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Medtronic Xomed, Inc.",No,Cranial Surgery,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Cardinal Health 200, LLC",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Henry Schein, Inc.",No,,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
"Medtronic Sofamor Danek USA, Inc.",No,Interventional Therapies,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
AstraZeneca Pharmaceuticals LP,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
Covidien LP,No,Flow Diversion,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,disallowed
"NPS Pharmaceuticals, Inc.",No,,GATTEX,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,disallowed
"Medtronic Sofamor Danek USA, Inc.",No,,Prolia,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"LILLY USA, LLC",No,,HUMALOG,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
DePuy Synthes Sales Inc.,No,ShoulderSMJT,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
Theravance Inc.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
BIOVENTUS LLC,No,Diagnostic Ultrasound,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
Corcept Therapeutics,No,,Korlym,,disallowed
Purdue Pharma L.P.,No,,BUTRANS,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Philips Electronics North America Corporation,No,CS Computed Tomography,,,allowed
Genzyme Corporation,No,,THYROGEN,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
SANOFI-AVENTIS U.S. LLC,No,,JEVTANA,Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,disallowed
Warner Chilcott LLC,No,,MINASTRIN 24 FE,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
"Janssen Biotech, Inc.",No,,Zytiga,Group|Single Specialty,disallowed
"Teva Pharmaceuticals USA, Inc.",Yes,,QVAR,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
The Spectranetics Corporation,No,UPSTREAM PRODUCTS,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Chek-Med Systems, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,allowed
"Bio Products Laboratory, Inc.",No,,Gammaplex,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
"Janssen Research & Development, LLC",No,,Imbruvica,,allowed
"AbbVie, Inc.",No,,Trilipix,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Janssen Scientific Affairs, LLC",No,,Simponi,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,disallowed
Shire US Holdings,No,DERMAGRAFT,,Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,disallowed
"Biomet Biologics, LLC",No,BIOLOGICS - TISSUE PRODUCTS,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"Vascular Solutions, Inc.",No,Langston,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Gilead Sciences Inc,No,,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
GENZYME CORPORATION,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"ACell, Inc.",No,,,Allopathic & Osteopathic Physicians|Emergency Medicine|Undersea and Hyperbaric Medicine,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,Essure,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,disallowed
Stryker Corporation,No,KNEES,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Toshiba America Medical Systems, Inc.",No,XR,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Torax Medical, Inc.",No,LINX,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Medtronic Vascular, Inc.",No,Implantable Cardioverter Defibrillators - ICDs,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
ZOLL Lifecor Corporation,No,LifeVest,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"Bard Peripheral Vascular, Inc.",No,Vascular,,Allopathic & Osteopathic Physicians|Nuclear Medicine,disallowed
"Medtronic USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,disallowed
"Everett Laboratories, Inc",No,,Select-OB DHA Caplets,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
"Ascension Orthopedics, Inc.",No,Recon-Upper Extremity Metal,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Covidien Sales LLC,No,Procedural Support and Other,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
"Biomet Microfixation, LLC",No,MICROFIXATION - THORACIC,,Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,disallowed
"Medtronic Xomed, Inc.",No,Image Guided Surgery Products,,,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Medline Industries, Inc.",No,Dermatology and Wound Care,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
AstraZeneca Pharmaceuticals LP,No,,CRESTOR,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
"Medline Industries, Inc.",No,Dermatology and Wound Care,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
Boston Scientific Corporation,No,TACHY HF,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"W. L. Gore & Associates, Inc.",No,Carotid Stent,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Elekta, Inc.",No,ELEKTA LINEAR ACCELERATOR,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
Pfizer Inc.,No,,LYRICA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Genzyme Corporation,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Cook Medical LLC,No,SUR - SIS,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Female Pelvic Medicine and Reconstructive Surgery,disallowed
Johnson and Johnson International,No,Harmonic  Enseal,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
Covidien LP,No,Thrombectomy,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Medtronic Vascular, Inc.",No,Renal Denervation - International Only,,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
Ethicon Inc.,No,Other NA,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Other Service Providers|Community Health Worker,disallowed
Boston Scientific Corporation,No,DBS,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Trilliant Surgical Ltd.,No,Gridlock,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
"AngioScore, Inc.",No,,,"Technologists, Technicians & Other Technical Service Providers|Spec/Tech, Cardiovascular|Vascular Specialist",disallowed
"Arthrex, Inc.",No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Other Service Providers|Legal Medicine,disallowed
"AbbVie, Inc.",No,,ABT-354,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Clinician's Choice Dental Products Inc.,No,FG 557 Edge Operative Carbides Clinic pack (100),,Dental Providers|Dentist|General Practice,disallowed
"Devicor Medical Products, Inc.",No,Revolve,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Santarus, Inc",No,,Uceris,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
"Vascular Solutions, Inc.",No,Vasc Band,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Philips Electronics North America Corporation,No,Research,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"SI-BONE, Inc.",No,iFuse Implant,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
DASH Medical Gloves Inc,No,DASH Branded Examination Gloves,Examination Gloves,Dental Providers|Dentist|Pediatric Dentistry,disallowed
"Aegerion Pharmaceuticals, Inc.",No,,JUXTAPID,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Actelion Pharmaceuticals US, Inc.",No,,ZAVESCA MIGLUSTAT,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
AstraZeneca Pharmaceuticals LP,No,,BRILINTA,Allopathic & Osteopathic Physicians|Electrodiagnostic Medicine,disallowed
"Wright Medical Technology, Inc.",No,,R&D EXTREMITIES,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
"NPS Pharmaceuticals, Inc.",No,,GATTEX,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Takeda Pharmaceuticals America, Inc.",No,,DEXILANT,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Benco Dental Supply Co.,No,,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Premier Dental Products Company,No,Rotary,,Dental Providers|Dentist|General Practice,disallowed
Ethicon Inc.,No,Biosurgicals,Evicel,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
B. Braun Medical Inc.,No,Pain Control,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
KARLSTORZ Endoscopy-America,No,SPINAL SURGERY,,,disallowed
"ACell, Inc.",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Foot and Ankle Surgery,disallowed
SANOFI-AVENTIS U.S. LLC,No,,CABAZITAXEL,Allopathic & Osteopathic Physicians|Urology,disallowed
Baxter Healthcare,No,,BioTherapeutics - GAMMAGARD-KIOVIG,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Sunovion Pharmaceuticals Inc.,No,,Aptiom,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Adempas,Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Imaging & Therapy,disallowed
"Medtronic Sofamor Danek USA, Inc.",No,Enabling Technologies - NIM NAV Power,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
bioMerieux,No,Procalcitonin,,Other Service Providers|Specialist,disallowed
"AbbVie, Inc.",No,,Androgel,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"QIAGEN Sciences, LLC",No,QUANTIFERON - TB GOLD QFT,,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
Cochlear Americas,Yes,Nucleus,,,disallowed
"AngioDynamics, Inc.",No,,,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
Fisher Scientific Company L.L.C.,No,Procalcitonin,Procalcitonin,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"Kowa Pharmaceuticals America, Inc.",No,,LIVALO,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
Ethicon Inc.,No,Endoscopy# Endocutters,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Roxane Laboratories, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"ACell, Inc.",No,,,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"DARA Biosciences, Inc.",No,,Gelclair,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
"Medtronic Vascular, Inc.",No,Cardiac Monitors - Insertable,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Becton, Dickinson and Company",No,Diabetes Care Pen Needles,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Pacira Pharmaceuticals Incorporated,No,,Exparel,Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ORENCIA,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
Shire US Holdings,No,DERMAGRAFT,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,TREANDA,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
PFIZER INC.,No,,ELIQUIS,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Sanofi Pasteur Inc.,No,,PENTACEL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Mylan Specialty L.P.,No,,Ultiva,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Medtronic Vascular, Inc.",No,Cardiac Monitors - Insertable,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
Eisai Inc.,No,,Belviq,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
"Auxilium Pharmaceuticals, Inc.",No,,XIAFLEX,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
Cook Incorporated,No,Peripheral Intervention,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Acclarent, Inc",No,Rhinology,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,disallowed
Pfizer Inc.,No,,XALKORI,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Medtronic Xomed, Inc.",No,Shunts,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Daiichi Sankyo Inc.,No,,Effient,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
3M Company,No,3M True Definition Scanner,,Dental Providers|Dentist,allowed
"Intersect ENT, Inc.",No,Propel,,Pharmacy Service Providers|Pharmacist,disallowed
OPTIMER PHARMACEUTICALS INC,No,,Dificid,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
"Janssen Biotech, Inc.",No,,Remicade,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,disallowed
Boston Scientific Corporation,No,Guidewires,,,disallowed
"Bard Peripheral Vascular, Inc.",No,Vascular,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Valeant Pharmaceuticals North America LLC,No,,ZYCLARA,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"R&M Distributing, LLC",No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
ArthroCare Corporation,No,Sports Med Coblation & Fixation,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Covidien Sales LLC,No,Hardware,,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Colcrys,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"Vascular Solutions, Inc.",No,VASC Band,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Cook Incorporated,No,Aortic Intervention,,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
Baxter Healthcare,No,,BioTherapeutics - GAMMAGARD-KIOVIG,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
"Janssen Biotech, Inc.",No,,Prezista,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,disallowed
"Takeda Pharmaceuticals U.S.A., Inc.",No,,Nesina,Other Service Providers|Legal Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,JANUVIA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,allowed
Nuo Therapeutics,No,Aurix,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Janssen Scientific Affairs, LLC",No,,Invokana,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Other Service Providers|Specialist,allowed
"W. L. Gore & Associates, Inc.",No,VIABAHN Endoprosthesis with PRO,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Sanofi Pasteur Inc.,No,,ADACEL,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
Ultradent Products Inc,No,,Dental and Orthodontic supplies,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
Pfizer Inc.,No,,TOVIAZ,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Behavioral Health & Social Service Providers|Counselor|Mental Health,disallowed
Boston Scientific Corporation,No,CLINICAL TRIAL PRODUCT,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Genentech, Inc.",No,,Non-Covered Product,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Medtronic, Inc.",No,,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Vascular Solutions, Inc.",No,PRONTO,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Cook Incorporated,No,PI - Self-Expanding Stent,,Allopathic & Osteopathic Physicians|Emergency Medicine|Undersea and Hyperbaric Medicine,disallowed
